timestamp,series_id,target,mempool_blocks_blockSize,mempool_blocks_blockVSize,mempool_blocks_nTx,mempool_blocks_totalFees,mempool_blocks_medianFee,mempool_count,mempool_vsize,mempool_total_fee,difficulty_adjustment_progressPercent,difficulty_adjustment_difficultyChange,difficulty_adjustment_remainingBlocks,difficulty_adjustment_remainingTime,difficulty_adjustment_previousTime,difficulty_adjustment_nextRetargetHeight,difficulty_adjustment_timeAvg,difficulty_adjustment_adjustedTimeAvg,difficulty_adjustment_timeOffset,difficulty_adjustment_expectedBlocks,price_USD,mempool_fee_histogram_bin_1_2,mempool_fee_histogram_bin_2_3,mempool_fee_histogram_bin_3_4,mempool_fee_histogram_bin_4_5,mempool_fee_histogram_bin_5_6,mempool_fee_histogram_bin_6_7,mempool_fee_histogram_bin_7_8,mempool_fee_histogram_bin_8_9,mempool_fee_histogram_bin_9_10,mempool_fee_histogram_bin_10_12,mempool_fee_histogram_bin_12_14,mempool_fee_histogram_bin_14_16,mempool_fee_histogram_bin_16_18,mempool_fee_histogram_bin_18_20,mempool_fee_histogram_bin_20_22,mempool_fee_histogram_bin_22_24,mempool_fee_histogram_bin_24_26,mempool_fee_histogram_bin_26_28,mempool_fee_histogram_bin_28_30,mempool_fee_histogram_bin_30_35,mempool_fee_histogram_bin_35_40,mempool_fee_histogram_bin_40_45,mempool_fee_histogram_bin_45_50,mempool_fee_histogram_bin_50_55,mempool_fee_histogram_bin_55_60,mempool_fee_histogram_bin_60_65,mempool_fee_histogram_bin_65_70,mempool_fee_histogram_bin_70_75,mempool_fee_histogram_bin_75_80,mempool_fee_histogram_bin_80_85,mempool_fee_histogram_bin_85_90,mempool_fee_histogram_bin_90_95,mempool_fee_histogram_bin_95_100,mempool_fee_histogram_bin_100_150,mempool_fee_histogram_bin_150_200,mempool_fee_histogram_bin_200_250,mempool_fee_histogram_bin_250_300,time_idx,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,minute_sin,minute_cos
2025-05-02 20:00:00,recommended_fee_economyFee,2.0,-0.0777635524938314,0.380890222656793,1.2979210832540868,0.264871280246491,0.9850324700143481,1.3664145233438605,2.3750700078482656,1.513729163655403,1.9357053563296378,-2.075529416990194,-1.935705356329638,-1.9264037111089762,-2.1817424229269755,-2.181742422927143,1.358537609259792,2.125884535839744,0.0,1.976072191037925,97031.33333333333,16.13881370879328,14.123558089488789,12.96720474531938,12.584909685929155,9.724879093654057,10.448811216709686,0.0,0.0,9.862248804519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5640,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0.0,1.0
2025-05-02 20:15:00,recommended_fee_economyFee,2.0,-0.6096166079654458,0.3808099823655966,0.23311895898623347,0.060444009442627664,0.3939109449298827,0.9894994605077919,2.3970839875192307,1.4261879059945757,1.9378499295255023,-2.0765876193931927,-1.9378499295255016,-1.9288248760279108,-2.1817424229269755,-2.181742422927143,1.3595179818342242,2.127095611194783,0.0,1.9783626671362944,97029.66666666667,16.150467709110448,14.317129530279008,12.53457511250093,11.711079359580832,9.723004305015813,9.73489137036065,0.0,0.0,9.736389527513658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5641,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,1.0,2.83276944882399e-16
2025-05-02 20:30:00,recommended_fee_economyFee,2.0,-0.6021832037413662,0.38091147836307043,-0.00556132394143991,0.27491051340066913,0.6154498723619641,0.8829687258445511,2.585226157464319,1.6907021426001265,1.939994502721365,-2.0776642660818934,-1.9399945027213648,-1.9312468803636291,-2.1817424229269755,-2.181742422927143,1.3605283658139928,2.128343760285176,0.0,1.9806565390480046,97112.66666666667,16.166816257153098,14.46237502806356,12.736263546066583,12.092573545703441,10.821390317719455,9.724520363554747,9.723523215315852,0.0,9.724021913723371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5642,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,5.66553889764798e-16,-1.0
2025-05-02 20:45:00,recommended_fee_economyFee,2.0,-0.6118706970874893,0.38098481054972655,-0.7678979172578447,-0.42714079802685423,-0.07861759655126661,0.5347150924316562,2.3180877283816668,1.1545126939414692,1.943747505814126,-2.0679766396748103,-1.9437475058141256,-1.9356550494951117,-2.1817424229269755,-2.181742422927143,1.3513748871853861,2.117036271000911,0.0,1.9829504109597145,97085.0,16.176919436555853,14.161246185164478,11.754948341651552,9.738612909345894,9.727744311102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5643,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16
2025-05-02 21:00:00,recommended_fee_economyFee,2.0,-0.05892300306116652,0.38093167128403344,-0.007275981146379937,-0.403928833248832,-0.2898095242387675,0.5610456224740293,2.0093705952456653,0.8189809382407397,1.9475005089068873,-2.0582765138933494,-1.9475005089068869,-1.940061298436468,-2.1817424229269755,-2.181742422927143,1.3422114047549982,2.105716423804859,0.0,1.9852408870580842,97067.66666666667,16.181076459491322,12.885059202714643,11.178561670688119,11.123673215307686,0.0,9.739084496244518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5644,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0.0,1.0
2025-05-02 21:15:00,recommended_fee_economyFee,2.0,-0.04088301882958858,0.38084717985158184,0.5931969720236717,-0.2533582049184806,-0.20035134765091075,0.6527276647855055,1.9961101707510096,0.873705600026949,1.9496450821027498,-2.0593543141628983,-1.94964508210275,-1.9424811538264473,-2.1817424229269755,-2.181742422927143,1.3432217887347702,2.106964572895256,0.0,1.9875330610631239,97040.33333333333,16.176782930672193,12.652677564316354,11.345240272109264,11.574371709946208,10.434929198193402,0.0,9.724281138642318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5645,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,1.0,2.83276944882399e-16
2025-05-02 21:30:00,recommended_fee_economyFee,2.0,-0.10205754335079434,0.38082645553796163,0.5383279414655863,-0.600484974086573,-0.49686623226320703,0.5067442998620533,1.940914078061282,0.7090316041036412,1.9517896552986143,-2.060426588926131,-1.9517896552986134,-1.9449012980688531,-2.1817424229269755,-2.181742422927143,1.3442221689127578,2.1082003640738614,0.0,1.9898243861148286,96949.66666666667,16.181317837357337,12.414101205395518,9.746073219448274,10.835586014615796,0.0,9.730482462379522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5646,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,5.66553889764798e-16,-1.0
2025-05-02 21:45:00,recommended_fee_economyFee,2.0,-0.18005193547558193,0.380936985210603,0.7814663331261038,-0.27819279868744784,-0.29762855304753943,0.7179928474479121,1.9929077915284459,0.859377090664767,1.9533980851955115,-2.06508572042462,-1.9533980851955108,-1.9466616985218537,-2.1817424229269755,-2.181742422927143,1.3486138378941341,2.1136254873479525,0.0,1.9921174090732032,96761.66666666667,16.179662511081727,12.79056871717867,11.108639661209256,10.901432001403476,9.740321354781914,0.0,9.723203917767739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5647,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16
2025-05-02 22:00:00,recommended_fee_economyFee,2.0,-0.3429702259616315,0.38094814445639846,0.22214515287461647,0.17208439511793006,0.1284553696389641,0.959888405410959,2.134481115188155,1.13689235646589,1.9544703717934433,-2.0733063419516147,-1.9544703717934426,-1.947763367138246,-2.1817424229269755,-2.181742422927143,1.3563667842735565,2.123202868982167,0.0,1.9944095830782431,96734.0,16.183205789941276,13.269557343887977,11.943713881047557,11.732277838844428,9.725297449521623,9.73186851887531,9.735739287591635,0.0,9.722565016655881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5648,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0.0,1.0
2025-05-02 22:15:00,recommended_fee_economyFee,2.0,-0.45343804395430554,0.38093964217388737,-0.08580728113264044,0.15090400823322703,0.3078679071732583,1.1028502341000403,2.2553279259606516,1.2413096526491394,1.9555426583913749,-2.0815161559832656,-1.9555426583913744,-1.9488659129742567,-2.1817424229269755,-2.181742422927143,1.364119730652975,2.1327802506163773,0.0,1.9967017570832828,96673.66666666667,16.187072402315344,13.693458548190453,12.055472599181213,11.705213854131365,10.82182951253603,0.0,0.0,9.985773895223353,0.0,9.72184576464693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5649,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,1.0,2.83276944882399e-16
