epoch,step,train_loss
0,49,1.0011218786239624
1,99,0.25655969977378845
2,149,-0.06337638199329376
3,199,-0.19797483086585999
4,249,-0.25137433409690857
5,299,-0.2849186658859253
6,349,-0.3597608208656311
7,399,-0.40942656993865967
8,449,-0.42973092198371887
9,499,-0.42250287532806396
