epoch,step,train_loss
0,49,0.7781499624252319
1,99,-0.5231620669364929
2,149,-0.8647621273994446
3,199,-0.8589172959327698
4,249,-1.1648857593536377
5,299,-1.3860212564468384
6,349,-1.3782424926757812
7,399,-1.2154381275177002
8,449,-1.1659375429153442
9,499,-1.4137400388717651
