trend,seasonal,damped,avg_mae,avg_mape,avg_rmse,avg_std_penalty,avg_dev_error,avg_custom_score
mul,mul,True,3.1847714907564795,0.6555319732650635,3.867180967952019,2.119093587033431,1.6531705108465509,6.957035588636461
add,mul,True,3.1848563223692232,0.6555365017516225,3.8672414161873143,2.119105102906184,1.6531852691976465,6.957146694473053
,mul,False,3.185106809831379,0.6555715056486427,3.8676693043055557,2.119426075207058,1.6534435478000973,6.957976432838535
add,mul,False,3.1856115677580275,0.6556123724676272,3.8680598780200826,2.119356453143846,1.6534883594346472,6.95845638033652
mul,add,True,3.1857696231704216,0.6560542187174888,3.8679776059783846,2.119928479105132,1.6529984515145926,6.958696553790148
,add,False,3.1883783723855457,0.6564723525570481,3.87077044706408,2.121474944375726,1.6537843840613689,6.963637700822642
add,add,True,3.1890100280257383,0.6566041138390674,3.8714207443609325,2.121707178961651,1.65394084081982,6.964658047807211
add,add,False,3.1888456880278047,0.6564498609191628,3.8713869250784563,2.1220278471350866,1.654273736634283,6.965147271797174
mul,mul,False,3.2040598770618716,0.6608752882348481,3.8853192190440744,2.1195713650963595,1.6538290690117115,6.977460311169944
mul,add,False,3.206597989436312,0.6616144589068623,3.8879488900505508,2.1209027529242284,1.6541878721779433,6.981688614538484
add,,False,3.2009793839967005,0.6593709345267091,3.88555862114002,2.138609866226185,1.6593772108270906,6.998966461049977
,,False,3.201423698417986,0.6594901817050747,3.885952025948847,2.138948205483462,1.659375,6.999746903901448
mul,,True,3.20142453667039,0.6594905781938207,3.885952850995698,2.1389482045955965,1.6593750001309797,6.999747741396968
add,,True,3.2014257896389546,0.6594907975947206,3.885953964060306,2.138948205483462,1.659375,6.999748995122417
mul,,False,3.222073116326038,0.665151504013368,3.9052551321519244,2.126667152921589,1.6598699411512445,7.0086102103988726
