fold,custom_loss,std_diff,dev_error,mae,mape,rmse
1,1.626,0.2597,0.681,0.6854,0.2191,0.916
2,2.7531,0.5624,1.0807,1.1101,0.292,1.5345
3,3.9313,0.7392,1.5976,1.5946,0.4372,2.1678
4,2.5284,0.2897,1.0686,1.1701,0.6713,1.4202
5,3.0861,0.1748,1.3225,1.5888,0.9017,1.8489
6,2.7968,0.7229,1.0139,1.06,0.3346,1.4061
7,11.7132,4.5734,3.7933,3.3464,0.3234,5.6998
8,5.5046,0.834,1.7654,2.9053,0.815,3.4216
