,trend,seasonal,damped,avg_mae,avg_mape,avg_rmse,avg_std_penalty,avg_dev_error,avg_custom_score
8,mul,mul,True,3.184771618228146,0.6555319966094209,3.8671811096443265,2.119093641549963,1.653170549833066,6.957035809611173
2,add,mul,True,3.1848562081341507,0.6555364769911807,3.867241302643245,2.1191051040704467,1.6531852395590285,6.957146551763626
13,,mul,False,3.185106906181369,0.6555715348365597,3.867669393754318,2.119426062336956,1.6534435445092572,6.957976513027582
3,add,mul,False,3.185611440479382,0.6556123023930378,3.8680596945942205,2.119356383598608,1.6534883295910707,6.95845615366906
6,mul,add,True,3.186324640173731,0.6562117166938106,3.8684724477779517,2.120072809030485,1.6529087229615935,6.9593061721658085
12,,add,False,3.188378417753944,0.656472386267955,3.870770363176502,2.1214746905851554,1.6537842091363615,6.963637317475461
0,add,add,True,3.189010151937996,0.6566041611796982,3.8714208452276773,2.121707171763264,1.6539408133559288,6.964658137057188
1,add,add,False,3.188846501247737,0.6564501231394494,3.8713876267270053,2.1220283544787275,1.654273668033704,6.965148523760169
9,mul,mul,False,3.203722393270378,0.6608160557886882,3.885022556384184,2.1195878335289438,1.6537739113039376,6.977084138103258
7,mul,add,False,3.206593595878342,0.661613356673304,3.887944351969979,2.120902470167485,1.6541873892307657,6.981683455276593
5,add,,False,3.2009793980717745,0.6593709384250624,3.8855586374631783,2.1386098539042364,1.6593772117016372,6.998966463677647
14,,,False,3.201423698429495,0.6594901817097972,3.8859520259609055,2.138948205483461,1.659375,6.999746903912954
10,mul,,True,3.2014245393696905,0.659490578931347,3.8859528536513914,2.13894820459553,1.659375000130985,6.999747744096206
4,add,,True,3.2014257895462976,0.6594907975864983,3.885953963985704,2.1389482054834605,1.6593749999999996,6.999748995029758
11,mul,,False,3.2220727658689277,0.6651514485925174,3.9052547978282157,2.1266673668594613,1.659869837680971,7.00860997040936
