fold,custom_loss,std_diff,dev_error,mae,mape,rmse
1,1.626,0.2597,0.681,0.6854,0.2191,0.916
2,2.7152,0.3741,1.1509,1.1901,0.3283,1.5898
3,4.0423,0.1527,1.9389,1.9507,0.518,2.7211
4,2.8859,0.8213,0.9867,1.0778,0.4254,1.4447
5,2.5737,0.6894,0.9013,0.9829,0.3464,1.3478
6,3.2405,0.924,1.0443,1.2722,0.3633,1.659
7,12.5368,4.6037,4.2312,3.7019,0.3995,6.0663
8,2.9231,0.3015,1.3095,1.3121,0.3275,1.608
