fold,custom_loss,std_diff,dev_error,mae,mape,rmse
1,23.706,10.5083,7.4859,5.7118,0.8574,11.7235
2,23.6767,10.6178,7.3849,5.6741,0.8935,11.4968
3,22.2617,10.0651,6.9775,5.2192,0.6541,11.4901
4,22.1158,9.9344,6.8132,5.3681,0.9226,10.8656
5,21.9827,9.9998,6.8157,5.1671,0.7534,11.0338
6,22.6347,10.2999,7.0345,5.3003,0.7397,11.2877
7,23.156,10.424,7.2919,5.4401,0.7089,11.6244
8,22.6271,10.2476,7.0975,5.282,0.6773,11.463
9,22.7507,10.3116,7.1291,5.3099,0.6926,11.4858
